Track,Artist,Playcount,Listeners,Duration,Listeners_per_Play,Date,Minutes,Popularity_Score,Underrated_Score
NORMAL,BTS,53968486,324789,181,166.1647592744828,2026-06-01,,,
tHe CuRe,Olivia Rodrigo,3550941,376178,297,9.439523310773092,2026-06-01,4.95,1328606.9,105937.55289090976
Stateside + Zara Larsson,PinkPantheress,22087939,1298324,176,17.012655546689423,2026-06-01,2.933333333333333,7535208.5,58779.77116832856
Earrings,Malcolm Todd,10997215,829153,0,13.263191473708712,2026-06-01,0.0,3879571.6,75396.63451155588
drop dead,Olivia Rodrigo,9395870,644528,224,14.57790817466425,2026-06-01,3.7333333333333334,3269930.6,68596.9473822009
hate that i made you love me,Ariana Grande,2000056,223423,198,8.951880513644522,2026-06-01,3.3,756412.8999999999,111708.37216557936
Billie Jean,Michael Jackson,27515283,3309215,294,8.314746246466306,2026-06-01,4.9,10571035.4,120268.25237450765
Babydoll,Dominic Fike,26590607,1753308,98,15.165964565267483,2026-06-01,1.6333333333333333,9204497.7,65937.11832151857
Beauty and a Beat,Justin Bieber,17828611,1789992,144,9.960162391787224,2026-06-01,2.4,6601577.699999999,100399.96946481137
Chicago,Michael Jackson,13136907,1181764,245,11.1163540266923,2026-06-01,4.083333333333333,4768306.899999999,89957.55241321264
Beat It,Michael Jackson,20129518,2704741,258,7.442308893901487,2026-06-01,4.3,7932174.1,134366.90337046323
Fame Is a Gun,Addison Rae,21624131,1090068,227,19.83741473009023,2026-06-01,3.783333333333333,7250286.899999999,50409.79450226231
Girl Like Me,PinkPantheress,9732504,709439,156,13.718591732340624,2026-06-01,2.6,3416358.4999999995,72893.77944257716
Human Nature,Michael Jackson,8986632,1311104,246,6.854248023040125,2026-06-01,4.1,3613762.4,145894.9248172174
Midnight Sun,Zara Larsson,13441936,804015,189,16.718513958072922,2026-06-01,3.15,4595391.3,59813.928588858034
Don't Stop 'Til You Get Enough,Michael Jackson,8880575,1498508,238,5.926278004521831,2026-06-01,3.966666666666667,3713128.1,168739.97460750007
SWIM,BTS,205891912,460344,159,447.25664285838417,2026-06-01,2.65,62089814.39999999,2235.8527614236737
Dracula - JENNIE remix,Tame Impala,5862097,712928,209,8.22256525203106,2026-06-01,3.4833333333333334,2257678.6999999997,121616.54779850964
Manchild,Sabrina Carpenter,26508469,1298851,213,20.409168565139495,2026-06-01,3.55,8861736.399999999,48997.58639399356
The Less I Know the Better,Tame Impala,49468356,2811899,216,17.59250812351368,2026-06-01,3.6,16808836.099999998,56842.37818616814
Mr. Brightside,The Killers,51964584,3715674,223,13.985237671550305,2026-06-01,3.716666666666667,18190347.0,71503.96893391853
Creep,Radiohead,61339221,4118656,235,14.893018742036237,2026-06-01,3.9166666666666665,21284825.5,67145.55439169989
