Artist,Playcount,Listeners,URL,Date
Kendrick Lamar,1045129518,5149449,https://www.last.fm/music/Kendrick+Lamar,2026-06-05
Taylor Swift,3719051242,5992465,https://www.last.fm/music/Taylor+Swift,2026-06-05
Tame Impala,431814005,4473635,https://www.last.fm/music/Tame+Impala,2026-06-05
Lady Gaga,1047919712,7783888,https://www.last.fm/music/Lady+Gaga,2026-06-05
Olivia Rodrigo,586776321,3177875,https://www.last.fm/music/Olivia+Rodrigo,2026-06-05
"Tyler, The Creator",1067124385,4380343,"https://www.last.fm/music/Tyler,+The+Creator",2026-06-05
Charli xcx,736946901,3823925,https://www.last.fm/music/Charli+xcx,2026-06-05
Sabrina Carpenter,685871792,3301491,https://www.last.fm/music/Sabrina+Carpenter,2026-06-05
Justin Bieber,347780557,4912495,https://www.last.fm/music/Justin+Bieber,2026-06-05
Lana Del Rey,1601647716,5312728,https://www.last.fm/music/Lana+Del+Rey,2026-06-05
Arctic Monkeys,946060713,7161289,https://www.last.fm/music/Arctic+Monkeys,2026-06-05
Katy Perry,448152924,7234832,https://www.last.fm/music/Katy+Perry,2026-06-05
Paramore,595452896,5703682,https://www.last.fm/music/Paramore,2026-06-05
Frank Ocean,788724672,4310798,https://www.last.fm/music/Frank+Ocean,2026-06-05
Billie Eilish,850637680,4281838,https://www.last.fm/music/Billie+Eilish,2026-06-05
Bruno Mars,311959765,5313836,https://www.last.fm/music/Bruno+Mars,2026-06-05
Doja Cat,477670683,3684954,https://www.last.fm/music/Doja+Cat,2026-06-05
Fleetwood Mac,306347845,4943800,https://www.last.fm/music/Fleetwood+Mac,2026-06-05
Harry Styles,455565658,3375157,https://www.last.fm/music/Harry+Styles,2026-06-05
Gorillaz,526380950,6916587,https://www.last.fm/music/Gorillaz,2026-06-05
A$AP Rocky,379644283,3501839,https://www.last.fm/music/A$AP+Rocky,2026-06-05
The Smiths,547845789,5129229,https://www.last.fm/music/The+Smiths,2026-06-05
Malcolm Todd,110417649,1457914,https://www.last.fm/music/Malcolm+Todd,2026-06-05
Linkin Park,757216102,6992364,https://www.last.fm/music/Linkin+Park,2026-06-05
Childish Gambino,334320209,3871715,https://www.last.fm/music/Childish+Gambino,2026-06-05
SZA,595929046,3541753,https://www.last.fm/music/SZA,2026-06-05
Deftones,588930918,4286676,https://www.last.fm/music/Deftones,2026-06-05
Travis Scott,692581470,3376852,https://www.last.fm/music/Travis+Scott,2026-06-05
Don Toliver,288788943,2592783,https://www.last.fm/music/Don+Toliver,2026-06-05
The Neighbourhood,411480316,4022778,https://www.last.fm/music/The+Neighbourhood,2026-06-05
Coldplay,786550604,9166616,https://www.last.fm/music/Coldplay,2026-06-05
Bad Bunny,418947862,2632081,https://www.last.fm/music/Bad+Bunny,2026-06-05
Chappell Roan,343048131,2607102,https://www.last.fm/music/Chappell+Roan,2026-06-05
Clairo,359809629,2970384,https://www.last.fm/music/Clairo,2026-06-05
Mac Miller,441761542,3589383,https://www.last.fm/music/Mac+Miller,2026-06-05
Beyoncé,708518596,6437067,https://www.last.fm/music/Beyonc%C3%A9,2026-06-05
The Marías,250963260,2554355,https://www.last.fm/music/The+Mar%C3%ADas,2026-06-05
Mitski,677591177,3316381,https://www.last.fm/music/Mitski,2026-06-05
Future,470743044,3264330,https://www.last.fm/music/Future,2026-06-05
TV Girl,302694532,2907068,https://www.last.fm/music/TV+Girl,2026-06-05
Dominic Fike,160217579,2644210,https://www.last.fm/music/Dominic+Fike,2026-06-05
Playboi Carti,797369512,2513967,https://www.last.fm/music/Playboi+Carti,2026-06-05
Ariana Grande,1143208008,4545144,https://www.last.fm/music/Ariana+Grande,2026-06-06
Michael Jackson,389347698,7016486,https://www.last.fm/music/Michael+Jackson,2026-06-06
Drake,1218205212,6795800,https://www.last.fm/music/Drake,2026-06-06
The Weeknd,1142212250,5378503,https://www.last.fm/music/The+Weeknd,2026-06-06
Kanye West,1566769084,8006431,https://www.last.fm/music/Kanye+West,2026-06-06
PinkPantheress,346694836,3157315,https://www.last.fm/music/PinkPantheress,2026-06-06
Radiohead,1393284143,8301018,https://www.last.fm/music/Radiohead,2026-06-06
Rihanna,612939910,8364562,https://www.last.fm/music/Rihanna,2026-06-06
Kendrick Lamar,1045485873,5150671,https://www.last.fm/music/Kendrick+Lamar,2026-06-06
Taylor Swift,3720200668,5993813,https://www.last.fm/music/Taylor+Swift,2026-06-06
Tame Impala,432101887,4475926,https://www.last.fm/music/Tame+Impala,2026-06-06
Lady Gaga,1048258888,7785462,https://www.last.fm/music/Lady+Gaga,2026-06-06
Olivia Rodrigo,587363441,3179693,https://www.last.fm/music/Olivia+Rodrigo,2026-06-06
"Tyler, The Creator",1067500038,4381542,"https://www.last.fm/music/Tyler,+The+Creator",2026-06-06
Charli xcx,737335420,3825065,https://www.last.fm/music/Charli+xcx,2026-06-06
Sabrina Carpenter,686375519,3302731,https://www.last.fm/music/Sabrina+Carpenter,2026-06-06
Justin Bieber,348067835,4914347,https://www.last.fm/music/Justin+Bieber,2026-06-06
Lana Del Rey,1602150722,5314159,https://www.last.fm/music/Lana+Del+Rey,2026-06-06
Arctic Monkeys,946339808,7162850,https://www.last.fm/music/Arctic+Monkeys,2026-06-06
Katy Perry,448376560,7237015,https://www.last.fm/music/Katy+Perry,2026-06-06
Paramore,595715495,5705420,https://www.last.fm/music/Paramore,2026-06-06
Frank Ocean,789037318,4312042,https://www.last.fm/music/Frank+Ocean,2026-06-06
Billie Eilish,850981397,4283104,https://www.last.fm/music/Billie+Eilish,2026-06-06
Bruno Mars,312176562,5315650,https://www.last.fm/music/Bruno+Mars,2026-06-06
Doja Cat,477894083,3686307,https://www.last.fm/music/Doja+Cat,2026-06-06
Fleetwood Mac,306524500,4945266,https://www.last.fm/music/Fleetwood+Mac,2026-06-06
Harry Styles,455871019,3376781,https://www.last.fm/music/Harry+Styles,2026-06-06
Gorillaz,526577660,6918070,https://www.last.fm/music/Gorillaz,2026-06-06
A$AP Rocky,379887270,3503024,https://www.last.fm/music/A$AP+Rocky,2026-06-06
The Smiths,548060862,5130659,https://www.last.fm/music/The+Smiths,2026-06-06
Malcolm Todd,110947664,1462891,https://www.last.fm/music/Malcolm+Todd,2026-06-06
Linkin Park,757548538,6993784,https://www.last.fm/music/Linkin+Park,2026-06-06
Childish Gambino,334471556,3873205,https://www.last.fm/music/Childish+Gambino,2026-06-06
